Country Name,Country Code,Income group,Region,Average Population
Angola,AGO,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),34511807.4
Burundi,BDI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),12554882.6
Benin,BEN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),12999230.8
Burkina Faso,BFA,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),22100039.0
Botswana,BWA,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),2588035.0
República Centroafricana,CAF,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),5466191.4
Côte d'Ivoire,CIV,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),27494233.2
Camerún,CMR,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),27206777.0
"Congo, República Democrática del",COD,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),95985438.4
"Congo, República del",COG,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),5837201.2
Comoras,COM,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),821525.2
Cabo Verde,CPV,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),587885.2
Djibouti,DJI,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),1105402.2
Argelia,DZA,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),44168941.6
"Egipto, República Árabe de",EGY,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),109210536.8
Eritrea,ERI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),3621586.2
Etiopía,ETH,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),120300303.0
Gabón,GAB,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),2340419.0
Ghana,GHA,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),32826715.4
Guinea,GIN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),13532910.2
Gambia,GMB,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),2640390.8
Guinea-Bissau,GNB,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),2060682.8
Guinea Ecuatorial,GNQ,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),1634625.0
"Irán, República Islámica del",IRN,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),87900232.8
Iraq,IRQ,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),43530955.6
Jordania,JOR,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),11079720.6
Kenya,KEN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),53014183.4
Líbano,LBN,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),5576226.0
Liberia,LBR,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),5197469.4
Libia,LBY,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),6731807.2
Lesotho,LSO,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),2279479.8
Marruecos,MAR,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),37073555.8
Madagascar,MDG,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),28922282.0
Malí,MLI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),21916747.0
Mozambique,MOZ,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),32081555.6
Mauritania,MRT,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),4619311.0
Mauricio,MUS,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),1264379.4
Malawi,MWI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),19894241.6
Namibia,NAM,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),2527415.4
Níger,NER,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),25288114.8
Nigeria,NGA,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),213475812.8
Ribera Occidental y Gaza,PSE,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),4924142.2
Rwanda,RWA,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),13462931.8
Sudán,SDN,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),45662598.2
Senegal,SEN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),16878646.6
Sierra Leona,SLE,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),8419649.8
Somalia,SOM,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),17064957.2
Sudán del Sur,SSD,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),10760825.0
Santo Tomé y Príncipe,STP,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),223116.6
Eswatini,SWZ,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),1191006.2
República Árabe Siria,SYR,Países de ingreso bajo,Oriente Medio y Norte de África (excluido altos ingresos),21509495.2
Chad,TCD,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),17190638.0
Togo,TGO,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),8646600.2
Túnez,TUN,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),12257664.6
Tanzanía,TZA,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),63620257.0
Uganda,UGA,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),45807877.6
"Yemen, Rep. del",YEM,Países de ingreso bajo,Oriente Medio y Norte de África (excluido altos ingresos),32991763.4
Sudáfrica,ZAF,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),59317923.4
Zambia,ZMB,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),19473745.8
Zimbabwe,ZWE,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),16000748.8
